Month of Data Escala de Tempo 1 EA Simp 4,Data Escala de Tempo 1 EA Simp 4,Período Exibido EA Simp 4,Subsistema,val_eaconsimp4
January 2015,1/1/2015,Mês,Sudeste/Centro-Oeste,34644
February 2015,2/1/2015,Mês,Sudeste/Centro-Oeste,42080
March 2015,3/1/2015,Mês,Sudeste/Centro-Oeste,58037
April 2015,4/1/2015,Mês,Sudeste/Centro-Oeste,68274
May 2015,5/1/2015,Mês,Sudeste/Centro-Oeste,73329
June 2015,6/1/2015,Mês,Sudeste/Centro-Oeste,73501
July 2015,7/1/2015,Mês,Sudeste/Centro-Oeste,76088
August 2015,8/1/2015,Mês,Sudeste/Centro-Oeste,69723
September 2015,9/1/2015,Mês,Sudeste/Centro-Oeste,65634
October 2015,10/1/2015,Mês,Sudeste/Centro-Oeste,56405
November 2015,11/1/2015,Mês,Sudeste/Centro-Oeste,55920
December 2015,12/1/2015,Mês,Sudeste/Centro-Oeste,60580
January 2016,1/1/2016,Mês,Sudeste/Centro-Oeste,90350
February 2016,2/1/2016,Mês,Sudeste/Centro-Oeste,103557
March 2016,3/1/2016,Mês,Sudeste/Centro-Oeste,118510
April 2016,4/1/2016,Mês,Sudeste/Centro-Oeste,117344
May 2016,5/1/2016,Mês,Sudeste/Centro-Oeste,115591
June 2016,6/1/2016,Mês,Sudeste/Centro-Oeste,114155
July 2016,7/1/2016,Mês,Sudeste/Centro-Oeste,104905
August 2016,8/1/2016,Mês,Sudeste/Centro-Oeste,93418
September 2016,9/1/2016,Mês,Sudeste/Centro-Oeste,81654
October 2016,10/1/2016,Mês,Sudeste/Centro-Oeste,70826
November 2016,11/1/2016,Mês,Sudeste/Centro-Oeste,68055
December 2016,12/1/2016,Mês,Sudeste/Centro-Oeste,68612
January 2017,1/1/2017,Mês,Sudeste/Centro-Oeste,75909
February 2017,2/1/2017,Mês,Sudeste/Centro-Oeste,82112
March 2017,3/1/2017,Mês,Sudeste/Centro-Oeste,84294
April 2017,4/1/2017,Mês,Sudeste/Centro-Oeste,85117
May 2017,5/1/2017,Mês,Sudeste/Centro-Oeste,88088
June 2017,6/1/2017,Mês,Sudeste/Centro-Oeste,85638
July 2017,7/1/2017,Mês,Sudeste/Centro-Oeste,77600
August 2017,8/1/2017,Mês,Sudeste/Centro-Oeste,66083
September 2017,9/1/2017,Mês,Sudeste/Centro-Oeste,49225
October 2017,10/1/2017,Mês,Sudeste/Centro-Oeste,35804
November 2017,11/1/2017,Mês,Sudeste/Centro-Oeste,38098
December 2017,12/1/2017,Mês,Sudeste/Centro-Oeste,45936
January 2018,1/1/2018,Mês,Sudeste/Centro-Oeste,63400
February 2018,2/1/2018,Mês,Sudeste/Centro-Oeste,75115
March 2018,3/1/2018,Mês,Sudeste/Centro-Oeste,86083
April 2018,4/1/2018,Mês,Sudeste/Centro-Oeste,89454
May 2018,5/1/2018,Mês,Sudeste/Centro-Oeste,86626
June 2018,6/1/2018,Mês,Sudeste/Centro-Oeste,80832
July 2018,7/1/2018,Mês,Sudeste/Centro-Oeste,69705
August 2018,8/1/2018,Mês,Sudeste/Centro-Oeste,56955
September 2018,9/1/2018,Mês,Sudeste/Centro-Oeste,46692
October 2018,10/1/2018,Mês,Sudeste/Centro-Oeste,41210
November 2018,11/1/2018,Mês,Sudeste/Centro-Oeste,48916
December 2018,12/1/2018,Mês,Sudeste/Centro-Oeste,55822
