Coluna1;PLD SE/CO;MLT;Ev P1;Ev P2;Ev P211;Ev P6;Ev P7;VazãoDAT P1;VazãoDAT P2;VazãoDAT P211;VazãoDAT P6;VazãoDAT P7
PLD SE/CO;1;0,229;-0,846;-0,821;-0,788;-0,714;-0,697;-0,766;-0,766;-0,778;-0,751;-0,766
MLT;0,229;1;-0,461;-0,47;-0,537;-0,616;-0,597;0,013;0,013;-0,042;0,01;0,012
Ev P1;-0,846;-0,461;1;0,996;0,988;0,891;0,861;0,79;0,79;0,829;0,784;0,787
Ev P2;-0,821;-0,47;0,996;1;0,992;0,874;0,842;0,778;0,778;0,82;0,778;0,783
Ev P211;-0,788;-0,537;0,988;0,992;1;0,917;0,888;0,737;0,737;0,782;0,737;0,74
Ev P6;-0,714;-0,616;0,891;0,874;0,917;1;0,991;0,558;0,558;0,597;0,538;0,536
Ev P7;-0,697;-0,597;0,861;0,842;0,888;0,991;1;0,525;0,525;0,546;0,499;0,497
VazãoDATT P1;-0,766;0,013;0,79;0,778;0,737;0,558;0,525;1;1;0,974;0,995;0,993
VazãoDAT P2;-0,766;0,013;0,79;0,778;0,737;0,558;0,525;1;1;0,974;0,995;0,993
VazãoDAT P211;-0,778;-0,042;0,829;0,82;0,782;0,597;0,546;0,974;0,974;1;0,982;0,978
VazãoDAT P6;-0,751;0,01;0,784;0,778;0,737;0,538;0,499;0,995;0,995;0,982;1;0,999
VazãoDAT P7;-0,766;0,012;0,787;0,783;0,74;0,536;0,497;0,993;0,993;0,978;0,999;1
